Sex,Pclass,Age,IsChild,IsElderly,Fare,HighFareFlag,FareAgeRatio,Embarked_C,Embarked_S,Embarked_Q,Survived
1,3,-0.5108068561300801,0,0,-0.8200960270076277,0,-0.37572764379127993,0,1,0,0
0,1,0.6734717741424385,0,0,3.3155567858597546,1,0.2933756769691684,1,0,0,1
0,3,-0.21473719856195045,0,0,-0.7765004970461,0,-0.3853264645535559,0,1,0,1
0,1,0.4514195309663413,0,0,2.1411707118605783,1,0.13731953123730345,0,1,0,1
1,3,0.4514195309663413,0,0,-0.7684272507569283,0,-0.4162510512950997,0,1,0,0
1,3,-0.06670236977788561,0,0,-0.7420567990779777,0,-0.38614616736978435,0,0,1,0
1,1,1.8577504044149573,0,0,2.0612455735977773,1,-0.0980387293494225,0,1,0,0
1,3,-1.9911551439707285,1,0,0.07280501257477019,1,2.5924450004931106,0,1,0,0
0,3,-0.14071978416991804,0,0,-0.5692893284897017,0,-0.3392765658888174,0,1,0,1
0,2,-1.1029461712663395,0,0,0.6538074843198215,1,0.37164909224166126,1,0,0,1
0,3,-1.8431203151866637,1,0,-0.20975860754624182,1,0.9623301618971378,0,1,0,1
0,1,2.153820061983087,0,0,0.4264132000404939,1,-0.316104541913544,0,1,0,1
1,3,-0.658841684914145,0,0,-0.7684272507569283,0,-0.34559553854124136,0,1,0,0
1,3,0.747489188534471,0,0,0.7315819097711868,1,-0.1692946743262879,0,1,0,0
0,3,-1.1029461712663395,0,0,-0.7810731837442871,0,-0.28354058343724053,0,1,0,0
0,2,1.9317678188069898,0,0,-0.2549687867656037,1,-0.3887787836032268,0,1,0,1
1,3,-1.9911551439707285,1,0,0.5927220735974323,1,3.7794576147579315,0,0,1,0
1,2,-0.06670236977788561,0,0,-0.4487266977057262,0,-0.3168672401021913,0,1,0,1
0,3,0.15534987339821163,0,0,-0.12579684613885533,1,-0.26633848510430463,0,1,0,0
0,3,-0.06670236977788561,0,0,-0.821710676265462,0,-0.40495888089095977,1,0,0,1
1,2,0.4514195309663413,0,0,0.39089091636813805,1,-0.1956829723504463,0,1,0,0
1,2,0.3774021165743089,0,0,-0.4487266977057262,0,-0.35086178793904443,0,1,0,1
0,3,-1.028928756874307,0,0,-0.7697706389394465,0,-0.2931789784100877,0,0,1,1
1,1,-0.06670236977788561,0,0,1.0044576343451928,1,0.02634694478911448,0,1,0,1
0,3,-1.547050657618534,1,0,0.07280501257477019,1,0.5207024873973696,0,1,0,0
0,3,0.6734717741424385,0,0,0.7388478314314414,1,-0.15915005505363525,0,1,0,1
1,3,-0.06670236977788561,0,0,-0.821710676265462,0,-0.40495888089095977,1,0,0,0
